claim_id,db_name,label,claim
2,california_schools,CONTRADICTED,No K-12 school in Alameda County has a 100% eligible free rate; the highest share is 0.96.
3,california_schools,CONTRADICTED,"The maximum eligible free rate achieved by any Alameda County school is 0.99, meaning at least some students were not eligible for free meals."
4,california_schools,CONTRADICTED,"Alameda County's top K-12 eligible free rate peaks at 0.95, not 1.00."
11,california_schools,CONTRADICTED,No California continuation school had an eligible free rate below 0.10 for students ages 5–17.
29,california_schools,CONTRADICTED,Only two California schools with an average SAT Math score above 400 are exclusively virtual.
30,california_schools,CONTRADICTED,There are no exclusively virtual California schools whose average SAT Math score exceeds 400.
31,california_schools,CONTRADICTED,Seven exclusively virtual schools in California have an average SAT Math score greater than 400.
38,california_schools,CONTRADICTED,The school with the highest number of test takers scoring over 1500 on the SAT can be contacted at (415) 749-3600.
40,california_schools,CONTRADICTED,"To reach the school that has the most SAT 1500+ scorers, call (310) 779-3000."
47,california_schools,CONTRADICTED,The California schools with the highest FRPM count for K–12 students recorded 612 SAT test takers.
48,california_schools,CONTRADICTED,The California schools with the highest FRPM count for K–12 students reported zero SAT test takers.
49,california_schools,CONTRADICTED,Fewer than 300 students took the SAT at the California schools with the highest K–12 FRPM counts.
58,california_schools,CONTRADICTED,There were zero directly charter-funded California schools with an average SAT Math score exceeding 560.
59,california_schools,CONTRADICTED,California had four directly charter-funded schools with average SAT Math scores over 560.
66,california_schools,CONTRADICTED,The school with the highest average SAT Reading score has an FRPM Count (ages 5–17) of 0.
67,california_schools,CONTRADICTED,The FRPM Count (ages 5–17) for the top SAT Reading school is 250.
75,california_schools,CONTRADICTED,"Among California schools with an SAT excellence rate above 0.3, the highest eligible free rate for students aged 5-17 was 0.72."
77,california_schools,CONTRADICTED,The peak eligible free rate for students aged 5-17 among California schools with SAT excellence exceeding 0.3 was 0.96.
85,california_schools,CONTRADICTED,The school with the highest SAT excellence rate lists (213) 241-1000 as its main phone line.
93,california_schools,CONTRADICTED,"NCES school ID 03050 has the highest Enrollment (Ages 5-17) in California, followed by 02751, 08283, 04653, and 11707."
103,california_schools,CONTRADICTED,Cupertino Union has the highest average Reading score among active California school districts.
104,california_schools,CONTRADICTED,Palo Alto Unified is not the top-performing active district in Reading; San Ramon Valley Unified holds the highest average.
105,california_schools,CONTRADICTED,"The active district with the highest average Reading score is Los Angeles Unified, not Palo Alto Unified."
113,california_schools,CONTRADICTED,Exactly two schools in merged Alameda have fewer than 100 test takers.
123,california_schools,CONTRADICTED,The count of Fresno directly funded schools with not more than 250 test takers is 17.
124,california_schools,CONTRADICTED,Fresno has zero directly funded schools with not more than 250 test takers.
131,california_schools,CONTRADICTED,The school with the highest average Math score can be reached at (213) 241-1000.
132,california_schools,CONTRADICTED,"The top-performing Math school lists (415) 522-6778 as its official phone line, not (408) 366-7700."
141,california_schools,CONTRADICTED,Amador County has only two schools that serve grades 9 through 12.
142,california_schools,CONTRADICTED,There are no schools in Amador where the lowest grade is 9 and the highest grade is 12.
143,california_schools,CONTRADICTED,At least five Amador schools span grades 9 to 12.
150,california_schools,CONTRADICTED,Los Angeles has exactly 162 K-12 schools with more than 500 free meals and fewer than 700 free or reduced-price meals.
151,california_schools,CONTRADICTED,Fewer than 200 schools in Los Angeles meet the criterion of over 500 free meals but under 700 free or reduced-price meals for K-12.
162,california_schools,CONTRADICTED,College Park High in Pleasant Hill led Contra Costa in the number of test takers.
169,california_schools,CONTRADICTED,"River Springs Charter in Riverside is a locally funded charter school, not directly funded."
170,california_schools,CONTRADICTED,Arlington High and Ramona High are charter schools in Riverside that receive direct charter funding.
178,california_schools,CONTRADICTED,"The California first-through-twelfth-grade school with the largest enrollment opened on September 5, 2010."
179,california_schools,CONTRADICTED,The largest-enrollment first-through-twelfth-grade school in California began operating in 1998.
180,california_schools,CONTRADICTED,California's most populous first-through-twelfth-grade school did not open until the 2018–2019 school year.
187,california_schools,CONTRADICTED,"The five California cities with the lowest K–12 enrollments are Big Sur, Lee Vining, Trona, Keeler, and Hornitos; communities like Coulterville, Pinecrest, Shaver Lake, Emigrant Gap, and Hyampom all report higher student counts."
208,california_schools,CONTRADICTED,"The top five grades 1–12 schools with the highest free or reduced-price meal counts among ownership code 66 reported eligible free or reduced-price meal rates of 0.68, 0.71, 0.64, 0.70, and 0.73, respectively."
216,california_schools,CONTRADICTED,"For the chartered school with the fewest students in grades 1 through 12, the administrator's email address is principal@seasidecharter.org."
225,california_schools,CONTRADICTED,The school with the highest number of students scoring 1500 or more on the SAT is under the administration of Austin Beutner.
226,california_schools,CONTRADICTED,The school posting the most SAT 1500+ scorers is administered by John Deasy.
235,california_schools,CONTRADICTED,"The complete address of the school with the lowest excellence rate is 1055 Monterey Street, San Luis Obispo, CA 93408."
245,california_schools,CONTRADICTED,"No Fresno schools opened in 1980, so the average number of test takers for that group is 0."
253,california_schools,CONTRADICTED,The telephone number for the school with the lowest average reading score in Fresno Unified is (559) 457-3000.
254,california_schools,CONTRADICTED,The school with the lowest average reading score in Fresno Unified lists (559) 248-5200 as its contact number.
255,california_schools,CONTRADICTED,"Fresno Unified’s lowest-reading-score campus can be reached at (559) 253-6520, not at any 248-5100 line."
262,california_schools,CONTRADICTED,"In California schools, the campus with the highest average in Math operates as a Charter school rather than a traditional one."
263,california_schools,CONTRADICTED,"The top math-performing school offers a Magnet education program focused on STEM, not a traditional model."
264,california_schools,CONTRADICTED,"An Alternative Education campus achieved the highest average in Math, while traditional schools did not lead."
271,california_schools,CONTRADICTED,"The school with the lowest overall average was located in San Diego County, and its average math score was 289."
273,california_schools,CONTRADICTED,Los Angeles County did not host the lowest overall scorer; that designation belonged to a Fresno County school with a 301 average in math.
280,california_schools,CONTRADICTED,"The school with the highest number of test takers whose total SAT score is at least 1500 is located in San Diego, and its average writing score is 480."
282,california_schools,CONTRADICTED,The top school by 1500-or-higher SAT totals is based in San Francisco with an average writing score of 520.
290,california_schools,CONTRADICTED,California School for the Deaf–Riverside has the highest number of enrolled students in grades 1–12 among California's state special schools.
292,california_schools,CONTRADICTED,California School for the Blind reports the largest grades 1–12 student count among California state special schools.
301,california_schools,CONTRADICTED,"In 1980, Alameda County’s Elementary School Districts averaged 2 new schools per month, totaling 24 openings that year."
302,california_schools,CONTRADICTED,The monthly average number of schools opened in Alameda County under Elementary School District authority in 1980 was exactly 1.0.
310,california_schools,CONTRADICTED,Merged Unified School District schools in Orange County outnumber merged Elementary School District schools; the ratio is greater than one.
311,california_schools,CONTRADICTED,The ratio of merged Unified to merged Elementary schools in Orange County is 2:1.
319,california_schools,CONTRADICTED,Oxford Academy is not located at 5172 Orange Avenue; its postal street address is 1000 South Magnolia Avenue in Anaheim.
328,california_schools,CONTRADICTED,Downtown High School at 655 De Haro Street is the campus with the lowest average reading score.
329,california_schools,CONTRADICTED,"Balboa High School, located at 1000 Cayuga Avenue, has the lowest average reading score."
336,california_schools,CONTRADICTED,Only one school in Lakeport has a combined SAT score of 1500 or higher.
337,california_schools,CONTRADICTED,No schools in Lakeport reach a total SAT score of at least 1500.
357,california_schools,CONTRADICTED,Exactly five active schools list California as their mailing state in San Joaquin city.
358,california_schools,CONTRADICTED,San Joaquin city is home to at least ten active schools that use California as their mailing state.
365,california_schools,CONTRADICTED,"The school that had the 333rd highest average writing score can be reached at (310) 395-5050, extension 204."
366,california_schools,CONTRADICTED,"For the school ranked 333rd by average writing score, the contact number is (415) 241-6000 with no extension."
367,california_schools,CONTRADICTED,The school with the 333rd highest average writing score uses extension 123 on its main line at (916) 395-5050.
375,california_schools,CONTRADICTED,There is only one chartered school in the city of Hickman owned by the Elementary School District.
376,california_schools,CONTRADICTED,The Elementary School District does not own any chartered schools in Hickman; all charter campuses there are independently operated.
386,california_schools,CONTRADICTED,At least three non-chartered schools in Los Angeles County have a K–12 free-meal eligibility rate under 0.18%.
387,california_schools,CONTRADICTED,Five non-chartered Los Angeles County schools meet the criterion of less than 0.18% of K–12 students eligible for free meals.
394,california_schools,CONTRADICTED,Only one school with a mailing city of Hickman belongs to charter number 00D4.
395,california_schools,CONTRADICTED,Charter number 00D4 includes five schools whose mailing city is Hickman.
396,california_schools,CONTRADICTED,There are no schools in Hickman associated with charter number 00D4.
415,california_schools,CONTRADICTED,"Exactly five directly funded schools opened in Stanislaus County between January 1, 2000 and December 31, 2005."
416,california_schools,CONTRADICTED,No directly funded schools opened in Stanislaus County during 2000–2005; the first directly funded campus there didn’t open until 2006.
424,california_schools,CONTRADICTED,"In 1989, the city of San Francisco recorded zero Community College District closures."
425,california_schools,CONTRADICTED,Only one Community College District closure occurred in San Francisco in 1989.
426,california_schools,CONTRADICTED,San Francisco experienced three Community College District closures in 1989.
435,california_schools,CONTRADICTED,Los Angeles County recorded the highest number of school closures involving Youth Authority Facilities (CEA) in the 1980s.
454,california_schools,CONTRADICTED,The District Special Education Consortia School associated with NCES district 0613360 does not offer kindergarten; its lowest grade is 9th grade.
