claim_id,db_name,label,claim
0,california_schools,ENTAILED,"The highest eligible free rate for K-12 students among Alameda County schools is 1.0, or 100%."
1,california_schools,ENTAILED,"At least one Alameda County K-12 school has a Free Meal Count equal to its K-12 Enrollment, producing an eligible free rate of 1.0."
9,california_schools,ENTAILED,"Among California continuation schools, the lowest three eligible free rates for students aged 5–17 are 0.043478260869565216, 0.07042253521126761, and 0.11363636363636363, in ascending order."
17,california_schools,ENTAILED,The unabbreviated mailing street address of the school with the highest FRPM count for K-12 students is 14429 South Downey Avenue.
18,california_schools,ENTAILED,The school with the highest K-12 FRPM count lists 14429 South Downey Avenue as its mailing street address.
27,california_schools,ENTAILED,There are four schools that are exclusively virtual and have an average SAT Math score greater than 400.
37,california_schools,ENTAILED,"In the California Schools domain, the school with the most students scoring above 1500 on the SAT can be reached at (213) 241-1000."
46,california_schools,ENTAILED,"In California K-12 schools, the highest-FRPM-count schools reported 459 SAT test takers."
55,california_schools,ENTAILED,"Among California schools with an average SAT Math score above 560, exactly two are directly charter-funded."
56,california_schools,ENTAILED,The count of directly charter-funded schools whose average SAT Math exceeds 560 is two.
64,california_schools,ENTAILED,The California school with the highest average SAT Reading score has an FRPM Count (Ages 5–17) of 136.
74,california_schools,ENTAILED,A maximum eligible free rate of 0.9049079754601227 implies that roughly 90.49% of students aged 5–17 are eligible for free meals at the highest such school meeting the SAT excellence threshold.
90,california_schools,ENTAILED,"In California, the top five schools by Enrollment (Ages 5–17), in descending order, have NCES school IDs 11707, 04653, 08283, 02751, and 03050."
110,california_schools,ENTAILED,"In the merged Alameda dataset, exactly one school had fewer than 100 test takers."
111,california_schools,ENTAILED,The count of schools in merged Alameda with the number of test takers under 100 is 1.
120,california_schools,ENTAILED,Fresno has 14 directly funded schools with 250 or fewer test takers.
121,california_schools,ENTAILED,The number of directly funded Fresno schools whose test taker count does not exceed 250 is 14.
130,california_schools,ENTAILED,The school that achieved the top average Math score can be contacted at (408) 366-7700.
