Table,Representation,k,Expected results,Retrieval,Evalution,COS Similary,Num documents
drivers,serialized_flat,5,"Index([0, 1, 2, 3, 22], dtype='int64')","[2, 3, 7, 22, 1]","precision: 0.8
recall: 0.8","[[{'corpus_id': 2, 'score': 0.1921548843383789}, {'corpus_id': 3, 'score': 0.16524752974510193}, {'corpus_id': 7, 'score': 0.13699132204055786}, {'corpus_id': 22, 'score': 0.13676337897777557}, {'corpus_id': 1, 'score': 0.1330914944410324}]]",50
circuits,serialized_flat,5,"Index([4, 5, 6, 7, 8], dtype='int64')","[4, 5, 6, 7, 9]","precision: 0.8
recall: 0.8","[[{'corpus_id': 4, 'score': 0.14886139333248138}, {'corpus_id': 5, 'score': 0.1424211859703064}, {'corpus_id': 6, 'score': 0.12836001813411713}, {'corpus_id': 7, 'score': 0.1265653520822525}, {'corpus_id': 9, 'score': 0.10928410291671753}]]",50
constructors,serialized_flat,5,"Index([9, 10, 11, 12, 13], dtype='int64')","[9, 11, 12, 13, 10]","precision: 1.0
recall: 1.0","[[{'corpus_id': 9, 'score': 0.3640146553516388}, {'corpus_id': 11, 'score': 0.345634400844574}, {'corpus_id': 12, 'score': 0.33430007100105286}, {'corpus_id': 13, 'score': 0.30649247765541077}, {'corpus_id': 10, 'score': 0.2832621932029724}]]",50
user_reviews,serialized_flat,5,"Index([14, 15, 16, 17, 18], dtype='int64')","[14, 18, 16, 17, 15]","precision: 1.0
recall: 1.0","[[{'corpus_id': 14, 'score': 0.19776348769664764}, {'corpus_id': 18, 'score': 0.1733989119529724}, {'corpus_id': 16, 'score': 0.1446911245584488}, {'corpus_id': 17, 'score': 0.1230458989739418}, {'corpus_id': 15, 'score': 0.1175713986158371}]]",50
customers,serialized_flat,5,"Index([19, 20, 21, 23, 24], dtype='int64')","[26, 19, 49, 43, 42]","precision: 0.2
recall: 0.2","[[{'corpus_id': 26, 'score': 0.07848171889781952}, {'corpus_id': 19, 'score': 0.06356485188007355}, {'corpus_id': 49, 'score': 0.059226423501968384}, {'corpus_id': 43, 'score': 0.0540570393204689}, {'corpus_id': 42, 'score': 0.052301328629255295}]]",50
rootbeerbrand,serialized_flat,5,"Index([25, 26, 27, 28, 29], dtype='int64')","[28, 26, 29, 24, 25]","precision: 0.8
recall: 0.8","[[{'corpus_id': 28, 'score': 0.29691219329833984}, {'corpus_id': 26, 'score': 0.26497364044189453}, {'corpus_id': 29, 'score': 0.2616809606552124}, {'corpus_id': 24, 'score': 0.22774982452392578}, {'corpus_id': 25, 'score': 0.2223525196313858}]]",50
publisher,serialized_flat,5,"Index([30, 31, 32, 33, 46], dtype='int64')","[47, 41, 34, 39, 38]","precision: 0.0
recall: 0.0","[[{'corpus_id': 47, 'score': 0.16349691152572632}, {'corpus_id': 41, 'score': 0.1364627480506897}, {'corpus_id': 34, 'score': 0.13343429565429688}, {'corpus_id': 39, 'score': 0.11882555484771729}, {'corpus_id': 38, 'score': 0.10615848004817963}]]",50
author,serialized_flat,5,"Index([34, 35, 36, 37, 47], dtype='int64')","[35, 34, 46, 47, 30]","precision: 0.6
recall: 0.6","[[{'corpus_id': 35, 'score': 0.1214047446846962}, {'corpus_id': 34, 'score': 0.11532317847013474}, {'corpus_id': 46, 'score': 0.0758688747882843}, {'corpus_id': 47, 'score': 0.07521915435791016}, {'corpus_id': 30, 'score': 0.06295431405305862}]]",50
customer,serialized_flat,5,"Index([38, 39, 40, 41, 48], dtype='int64')","[34, 35, 41, 47, 30]","precision: 0.2
recall: 0.2","[[{'corpus_id': 34, 'score': 0.06162630766630173}, {'corpus_id': 35, 'score': 0.04904107749462128}, {'corpus_id': 41, 'score': 0.047010455280542374}, {'corpus_id': 47, 'score': 0.04196447506546974}, {'corpus_id': 30, 'score': 0.035282984375953674}]]",50
businesses,serialized_flat,5,"Index([42, 43, 44, 45, 49], dtype='int64')","[42, 43, 49, 44, 45]","precision: 1.0
recall: 1.0","[[{'corpus_id': 42, 'score': 0.17151033878326416}, {'corpus_id': 43, 'score': 0.1634790301322937}, {'corpus_id': 49, 'score': 0.14986032247543335}, {'corpus_id': 44, 'score': 0.14041323959827423}, {'corpus_id': 45, 'score': 0.12370260804891586}]]",50
drivers,linearized_column_wise,5,"Index([0, 1, 2, 3, 22], dtype='int64')","[2, 3, 22, 5, 7]","precision: 0.6
recall: 0.6","[[{'corpus_id': 2, 'score': 0.0831066146492958}, {'corpus_id': 3, 'score': 0.06047467142343521}, {'corpus_id': 22, 'score': 0.057052839547395706}, {'corpus_id': 5, 'score': 0.05078065022826195}, {'corpus_id': 7, 'score': 0.048329345881938934}]]",50
