Table,Representation,k,Expected results,Retrieval,Evalution,COS Similary,Num documents,Mean precision and recall
artists,serialized_flat,5,"Index([0, 1, 2, 3, 4], dtype='int64')","[4, 0, 2, 1, 3]","precision: 1.0
recall: 1.0","[[{'corpus_id': 4, 'score': 0.20891517400741577}, {'corpus_id': 0, 'score': 0.17513373494148254}, {'corpus_id': 2, 'score': 0.14366379380226135}, {'corpus_id': 1, 'score': 0.12485458701848984}, {'corpus_id': 3, 'score': 0.10256790369749069}]]",50,Precision: 1 Recal: 1
playlists,serialized_flat,5,"Index([5, 6, 7, 8, 9], dtype='int64')","[8, 6, 7, 5, 9]","precision: 1.0
recall: 1.0","[[{'corpus_id': 8, 'score': 0.2654455006122589}, {'corpus_id': 6, 'score': 0.22972892224788666}, {'corpus_id': 7, 'score': 0.19970369338989258}, {'corpus_id': 5, 'score': 0.1981242448091507}, {'corpus_id': 9, 'score': 0.1503225713968277}]]",50,
chip_model,serialized_flat,5,"Index([10, 11, 12, 13, 14], dtype='int64')","[11, 12, 13, 14, 10]","precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.31632325053215027}, {'corpus_id': 12, 'score': 0.3152572810649872}, {'corpus_id': 13, 'score': 0.3105289041996002}, {'corpus_id': 14, 'score': 0.3093811869621277}, {'corpus_id': 10, 'score': 0.2887633442878723}]]",50,
Video_Games,serialized_flat,5,"Index([15, 16, 17, 18, 19], dtype='int64')","[17, 18, 16, 15, 19]","precision: 1.0
recall: 1.0","[[{'corpus_id': 17, 'score': 0.36625540256500244}, {'corpus_id': 18, 'score': 0.3400898873806}, {'corpus_id': 16, 'score': 0.30415216088294983}, {'corpus_id': 15, 'score': 0.28755223751068115}, {'corpus_id': 19, 'score': 0.2815622091293335}]]",50,
employee,serialized_flat,5,"Index([20, 21, 22, 23, 24], dtype='int64')","[22, 23, 20, 24, 21]","precision: 1.0
recall: 1.0","[[{'corpus_id': 22, 'score': 0.26190534234046936}, {'corpus_id': 23, 'score': 0.2566062808036804}, {'corpus_id': 20, 'score': 0.2334345132112503}, {'corpus_id': 24, 'score': 0.1483156383037567}, {'corpus_id': 21, 'score': 0.14364203810691833}]]",50,
Addresses,serialized_flat,5,"Index([25, 26, 27, 28, 29], dtype='int64')","[25, 28, 27, 29, 26]","precision: 1.0
recall: 1.0","[[{'corpus_id': 25, 'score': 0.21561944484710693}, {'corpus_id': 28, 'score': 0.20114919543266296}, {'corpus_id': 27, 'score': 0.16346047818660736}, {'corpus_id': 29, 'score': 0.15394610166549683}, {'corpus_id': 26, 'score': 0.14105799794197083}]]",50,
city,serialized_flat,5,"Index([30, 31, 32, 33, 34], dtype='int64')","[32, 34, 33, 31, 30]","precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.43977171182632446}, {'corpus_id': 34, 'score': 0.43555936217308044}, {'corpus_id': 33, 'score': 0.42272964119911194}, {'corpus_id': 31, 'score': 0.4186761975288391}, {'corpus_id': 30, 'score': 0.37292277812957764}]]",50,
shop,serialized_flat,5,"Index([35, 36, 37, 38, 39], dtype='int64')","[35, 38, 36, 37, 39]","precision: 1.0
recall: 1.0","[[{'corpus_id': 35, 'score': 0.22157059609889984}, {'corpus_id': 38, 'score': 0.21400997042655945}, {'corpus_id': 36, 'score': 0.21030759811401367}, {'corpus_id': 37, 'score': 0.17956747114658356}, {'corpus_id': 39, 'score': 0.14889037609100342}]]",50,
stadium,serialized_flat,5,"Index([40, 41, 42, 43, 44], dtype='int64')","[40, 43, 41, 44, 42]","precision: 1.0
recall: 1.0","[[{'corpus_id': 40, 'score': 0.2858048975467682}, {'corpus_id': 43, 'score': 0.25210389494895935}, {'corpus_id': 41, 'score': 0.24532698094844818}, {'corpus_id': 44, 'score': 0.20859792828559875}, {'corpus_id': 42, 'score': 0.1935722976922989}]]",50,
singer,serialized_flat,5,"Index([45, 46, 47, 48, 49], dtype='int64')","[45, 48, 49, 47, 46]","precision: 1.0
recall: 1.0","[[{'corpus_id': 45, 'score': 0.4025561511516571}, {'corpus_id': 48, 'score': 0.3146169185638428}, {'corpus_id': 49, 'score': 0.299811989068985}, {'corpus_id': 47, 'score': 0.28876522183418274}, {'corpus_id': 46, 'score': 0.2742079794406891}]]",50,
artists,linearized_column_wise,5,"Index([0, 1, 2, 3, 4], dtype='int64')","[27, 26, 2, 31, 28]","precision: 0.2
recall: 0.2","[[{'corpus_id': 27, 'score': 0.0830203965306282}, {'corpus_id': 26, 'score': 0.06611116230487823}, {'corpus_id': 2, 'score': 0.06512527167797089}, {'corpus_id': 31, 'score': 0.06130466237664223}, {'corpus_id': 28, 'score': 0.05891185626387596}]]",50,Precision: 0.92 Recal: 0.92
playlists,linearized_column_wise,5,"Index([5, 6, 7, 8, 9], dtype='int64')","[6, 8, 7, 5, 9]","precision: 1.0
recall: 1.0","[[{'corpus_id': 6, 'score': 0.26532283425331116}, {'corpus_id': 8, 'score': 0.2624668776988983}, {'corpus_id': 7, 'score': 0.23830120265483856}, {'corpus_id': 5, 'score': 0.206699937582016}, {'corpus_id': 9, 'score': 0.17586545646190643}]]",50,
chip_model,linearized_column_wise,5,"Index([10, 11, 12, 13, 14], dtype='int64')","[11, 12, 13, 10, 14]","precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.396796315908432}, {'corpus_id': 12, 'score': 0.3733547031879425}, {'corpus_id': 13, 'score': 0.3652274012565613}, {'corpus_id': 10, 'score': 0.3462090790271759}, {'corpus_id': 14, 'score': 0.3449544608592987}]]",50,
Video_Games,linearized_column_wise,5,"Index([15, 16, 17, 18, 19], dtype='int64')","[17, 18, 15, 19, 16]","precision: 1.0
recall: 1.0","[[{'corpus_id': 17, 'score': 0.3879157304763794}, {'corpus_id': 18, 'score': 0.3375418484210968}, {'corpus_id': 15, 'score': 0.30197638273239136}, {'corpus_id': 19, 'score': 0.2978847622871399}, {'corpus_id': 16, 'score': 0.2930384576320648}]]",50,
employee,linearized_column_wise,5,"Index([20, 21, 22, 23, 24], dtype='int64')","[22, 23, 20, 24, 21]","precision: 1.0
recall: 1.0","[[{'corpus_id': 22, 'score': 0.26768258213996887}, {'corpus_id': 23, 'score': 0.2634708285331726}, {'corpus_id': 20, 'score': 0.2503492832183838}, {'corpus_id': 24, 'score': 0.14782026410102844}, {'corpus_id': 21, 'score': 0.14546674489974976}]]",50,
Addresses,linearized_column_wise,5,"Index([25, 26, 27, 28, 29], dtype='int64')","[25, 28, 27, 29, 26]","precision: 1.0
recall: 1.0","[[{'corpus_id': 25, 'score': 0.1943160742521286}, {'corpus_id': 28, 'score': 0.17501771450042725}, {'corpus_id': 27, 'score': 0.13886955380439758}, {'corpus_id': 29, 'score': 0.12460201233625412}, {'corpus_id': 26, 'score': 0.12152739614248276}]]",50,
