Date,Achievement,Flight
"September 28, 2008","First privately funded, fully liquid-fueled rocket to reach orbit.[152]",Falcon 1 Flight 4
"July 14, 2009","First privately funded, fully liquid-fueled rocket to put a commercial satellite in orbit.",Falcon 1 Flight 5
"December 9, 2010","First private company to successfully launch, orbit, and recover a spacecraft.",SpaceX COTS Demo Flight 1
"May 25, 2012",First private company to send a spacecraft to the International Space Station (ISS).[153],SpaceX COTS Demo Flight 2
"December 22, 2015",First landing of an orbital-class rocket's first stage on land.,Falcon 9 Flight 20
"April 8, 2016",First landing of an orbital-class rocket's first stage on an ocean platform.,SpaceX CRS-8
"March 30, 2017",First reuse and (second) landing of an orbital first stage.[67],SES-10
"March 30, 2017",First controlled flyback and recovery of a payload fairing.[154],SES-10
"June 3, 2017",First reuse of a commercial cargo spacecraft.[155],SpaceX CRS-11
"February 6, 2018",First private spacecraft launched into heliocentric orbit.,Falcon Heavy test flight
"March 2, 2019",First private company to send a human-rated spacecraft to orbit.,Crew Dragon Demo-1
"March 3, 2019",First private company to autonomously dock a human-rated spacecraft to the ISS.,Crew Dragon Demo-1
"July 25, 2019",First flight of a full-flow staged combustion cycle engine (Raptor).[156],Starhopper
"November 11, 2019",First reuse of a payload fairing.[157],Starlink 2 v1.0
"May 30, 2020",First private company to send humans into orbit.[158],Crew Dragon Demo-2
"May 30, 2020",First private company to send humans to the ISS.[159],Crew Dragon Demo-2
"January 24, 2021","Most spacecraft launched on a single mission, 143 satellites.[a][160]",Transporter-1
"April 23, 2021",First reuse of a crewed space capsule.[161],SpaceX Crew-2 / Endeavour
"April 23, 2021",First reused booster to send humans into orbit.,SpaceX Crew-2 / Endeavour
"June 17, 2021",First reused booster to launch a 'national security' mission.[162],GPS III-05
"September 16, 2021",First orbital launch of an all-private crew.[163][164],Inspiration4
"November 24, 2021","Longest streak of orbital launches without a mission failure or partial failure for a single rocket type (Falcon 9, 101 launches).[165]",Double Asteroid Redirection Test
"April 9, 2022",First all-private crew to dock with the International Space Station.[166],Axiom Mission 1
"October 20, 2022","Highest number of launches of a single rocket type in a calendar year (Falcon 9, 48 launches).[167]",Starlink 4-36
"April 20, 2023","Tallest, most massive, most powerful rocket to ever launch.[168][169]",SpaceX Starship orbital test flight
"March 14, 2024",Starship reaches intended orbital velocity for the first time.[170],SpaceX Starship integrated flight test 3
"April 12, 2024",A single Falcon 9 booster reused for the 20th time.[171],Booster 1062
"September 12, 2024",First commercial spacewalk,Polaris Dawn
"October 13, 2024",First Super Heavy booster catch,Starship flight test 5
"November 19, 2024",First in space relight of a full-flow staged combustion cycle engine (Raptor).[130],Starship flight test 6
"May 27, 2025",First reuse of a Super Heavy booster,Starship flight test 9
