Type | Self-commutated motors,Advantages | Self-commutated motors,Disadvantages | Self-commutated motors,Typical application | Self-commutated motors,"Typical drive, output | Self-commutated motors"
Brushed DC,Simple speed controlLow initial cost,Maintenance (brushes)Medium lifespanCostly commutator and brushes,Steel millsPaper making machinesTreadmill exercisersAutomotive accessories,"Rectifier, linear transistor(s) or DC chopper controller.[90]"
Brushless DC motor (BLDC or BLDM),Long lifespanLow maintenanceHigh efficiency,Higher initial costRequires EC controller with closed-loop control,"Rigid (""hard"") disk drivesCD/DVD playersElectric vehiclesRC VehiclesUAVs",Synchronous; single-phase or three-phase with PM rotor and trapezoidal stator winding; VFD typically VS PWM inverter type.[81][91][92]
Switched reluctance motor (SRM),Long lifespanLow maintenanceHigh efficiencyNo permanent magnetsLow costSimple construction,Mechanical resonance possibleHigh iron lossesOpen or vector control and parallel operation impossibleRequires EC controller[85],AppliancesElectric VehiclesTextile millsAircraft applications,"PWM and various other drive types, which tend to be used in specialized / OEM applications.[93][94]"
Universal motor,High starting torqueCompactHigh speed,Maintenance (brushes)Shorter lifespanUsually acoustically noisyOnly small ratings are economical,Handheld power toolsBlendersVacuum cleanersInsulation blowers,"Variable single-phase AC, half-wave or full-wave phase-angle control with triac(s); closed-loop control optional.[90]"
AC asynchronous motors,AC asynchronous motors,AC asynchronous motors,AC asynchronous motors,AC asynchronous motors
"AC polyphase squirrel-cage or wound-rotor induction motor (SCIM or WRIM, resp.)",Self-startingLow costRobustReliableRatings to 1+ MWStandardized types,High starting currentLower efficiency due to need for magnetization,"Fixed-speed (traditionally) SCIM the world's workhorse especially in low-performance applications of all types Variable-speed (traditionally) low-performance variable-torque pumps, fans, blowers and compressors. Variable-speed (increasingly) other high-performance constant-torque and constant-power or dynamic loads.","Fixed-speed low-performance applications of all types. Variable-speed (traditionally) WRIM drives or fixed-speed V/Hz-controlled VSDs. Variable-speed (increasingly) vector-controlled VSDs displacing DC, WRIM and single-phase AC induction motor drives."
AC SCIM split-phase capacitor-start,High powerhigh starting torque,Speed slightly below synchronousStarting switch or relay required,AppliancesStationary Power Tools,"Fixed or variable single-phase AC, variable speed being derived, typically, by full-wave phase-angle control with triac(s); closed-loop control optional.[90]"
AC SCIM split-phase capacitor-run,Moderate powerHigh starting torqueNo starting switchComparatively long life,Speed slightly below synchronousSlightly more costly,Industrial blowersIndustrial machinery,"Fixed or variable single-phase AC, variable speed being derived, typically, by full-wave phase-angle control with triac(s); closed-loop control optional.[90]"
"AC SCIM split-phase, auxiliary start winding",Moderate powerLow starting torque,Speed slightly below synchronousStarting switch or relay required,AppliancesStationary power tools,"Fixed or variable single-phase AC, variable speed being derived, typically, by full-wave phase-angle control with triac(s); closed-loop control optional.[90]"
AC induction shaded-pole motor,Low costLong life,Speed slightly below synchronousLow starting torqueSmall ratingslow efficiency,Fansappliancesrecord players,"Fixed or variable single-phase AC, variable speed being derived, typically, by full-wave phase-angle control with triac(s); closed-loop control optional.[90]"
AC synchronous motors,AC synchronous motors,AC synchronous motors,AC synchronous motors,AC synchronous motors
Wound-rotor synchronous motor (WRSM),Synchronous speedInherently more efficient,More costlyLow power factor,Industrial motors,"Fixed or variable speed, three-phase; VFD typically six-step CS load-commutated inverter type or VS PWM inverter type.[90][92]"
Hysteresis motor,Accurate speed controlLow noiseNo vibrationHigh starting torque,Very low efficiency,ClocksTimersSound producing or recording equipmentHard driveCapstan drive,"Single-phase AC, two-phase capacitor-start, capacitor run motor[95][96]"
Synchronous reluctance motor (SyRM),"Equivalent to SCIM except more robust, more efficient, runs cooler, smaller footprintCompetes with PM synchronous motor without demagnetization issues",Requires a controllerNot widely availableHigh cost,AppliancesElectric vehiclesTextile millsAircraft applications,VFD can be standard DTC type or VS inverter PWM type.[97]
Specialty motors,Specialty motors,Specialty motors,Specialty motors,Specialty motors
Pancake or axial rotor motors[81],Compact designSimple speed control,Medium costMedium lifespan,Office EquipmentFans/PumpsFast industrial and military servos,Drives can typically be brushed or brushless DC type.[81]
Stepper motor,Precision positioningHigh holding torque,Some can be costlyRequire a controller,Positioning in printers and floppy disc drives; industrial machine tools,Not a VFD. Stepper position is determined by pulse counting.[98][99]
